ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1736.0,-1.17%,+9.21%,+38.23%,+530.72%,+4459%,190.931,,59.37,16.19,,9.63,buy,1.55,-1.17,98.83,-1.17,988.3,-11.7,9883.0,-117.0,9.21,109.21,9.21,1092.1,92.1,10921.0,921.0,38.23,138.23,38.23,1382.3,382.3,13823.0,3823.0,530.72,630.72,530.72,6307.2,5307.2,63072.0,53072.0,4459.0,4559.0,4459.0,45590.0,44590.0,455900.0,445900.0,3 Storage Devices Stocks to Buy as the Industry Gains Momentum,Zacks,2026-06-02,0.34,Is Sandisk Corporation (SNDK) One of the Top Undervalued Blue Chip Stocks Analysts Recommend for Smart Investing?,Insider Monkey,2026-06-02,0.718,Is Sandisk Corporation (SNDK) One of the Best Inexpensive Stocks to Invest in Right Now?,Insider Monkey,2026-06-02,0.637,9,buy,0.68,"SNDK has exceptional momentum (+37.86% 1M, +529.01% YTD) and buy consensus (1.55). News sentiment is positive at 0.296 and it is highlighted as one of the best inexpensive stocks to invest in.",+37.86% 1M momentum; +529.01% YTD; buy consensus (1.55); positive news sentiment 0.296,,,,,
WDC,Western Digital,AI,memory,NASDAQ,565.44,+2.90%,+7.77%,+27.82%,+201.39%,+916%,144.746,2.158,33.84,7.94,11.0,9.74,buy,1.52,2.9,102.9,2.9,1029.0,29.0,10290.0,290.0,7.77,107.77,7.77,1077.7,77.7,10777.0,777.0,27.82,127.82,27.82,1278.2,278.2,12782.0,2782.0,201.39,301.39,201.39,3013.9,2013.9,30139.0,20139.0,916.0,1016.0,916.0,10160.0,9160.0,101600.0,91600.0,3 Storage Devices Stocks to Buy as the Industry Gains Momentum,Zacks,2026-06-02,0.34,Why Sandisk Corporation Is My Favorite Stock Idea Right Now,24/7 Wall St.,2026-06-02,0.459,3 High Growth Tech Stocks To Watch In The US Market,Simply Wall St.,2026-06-02,0.382,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,77540.0,+6.70%,+24.14%,+78.62%,+583.17%,+3558%,196.66,,76.94,35.49,,,buy,1.62,6.7,106.7,6.7,1067.0,67.0,10670.0,670.0,24.14,124.14,24.14,1241.4,241.4,12414.0,2414.0,78.62,178.62,78.62,1786.2,786.2,17862.0,7862.0,583.17,683.17,583.17,6831.7,5831.7,68317.0,58317.0,3558.0,3658.0,3558.0,36580.0,35580.0,365800.0,355800.0,SK Hynix Just Hit a $1 Trillion Market Cap. Here's How You Can Buy the Stock for Around $60.,Motley Fool,2026-05-30,0.0,Scorching runs for memory chip stocks like Micron and Sandisk have sent this new ETF soaring,Yahoo Finance,2026-05-26,0.361,Kioxia Holdings (TSE:285A) Is Up 29.1% After EPS Surge And Charter Change Talks - Has The Bull Case Changed?,Simply Wall St.,2026-05-23,0.0,3,buy,0.78,"285A shows explosive momentum with +78.62% 1M and +583.17% YTD, driven by SK Hynix's trillion-dollar market cap milestone. The P/E of 76.94 reflects high growth expectations.",+78.62% 1M momentum; +583.17% YTD; market cap milestone; memory sector leader,,,,,
MU,Micron Technology,AI,memory,NASDAQ,1045.08,+0.48%,+16.65%,+81.30%,+231.47%,+913%,875.302,1.919,49.23,48.07,6.0,3.13,strong_buy,1.48,0.48,100.48,0.48,1004.8,4.8,10048.0,48.0,16.65,116.65,16.65,1166.5,166.5,11665.0,1665.0,81.3,181.3,81.3,1813.0,813.0,18130.0,8130.0,231.47,331.47,231.47,3314.7,2314.7,33147.0,23147.0,913.0,1013.0,913.0,10130.0,9130.0,101300.0,91300.0,The record-setting S&P 500 is putting up some impressive stats: By the numbers,Yahoo Finance,2026-06-02,0.511,Marvell stock soars as Nvidia CEO calls chipmaker 'the next trillion-dollar company',Yahoo Finance,2026-06-02,0.0,3 Reasons MU Has Explosive Upside Potential,StockStory,2026-06-02,0.0,2,strong_buy,0.82,"MU has strong momentum (+79.15% 1M, +227.54% YTD), solid P/E of 48.64, strong_buy analyst consensus with score 1.48, and high news sentiment of 0.519. Web search confirms memory sector tailwinds from AI data center growth.",+79.15% 1M momentum; P/E 48.64; strong_buy consensus (1.48); news sentiment 0.519,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,930.32,+0.86%,+10.00%,+25.97%,+224.11%,+648%,156.219,2.009,88.54,3.98,32.0,4.76,buy,1.54,0.86,100.86,0.86,1008.6,8.6,10086.0,86.0,10.0,110.0,10.0,1100.0,100.0,11000.0,1000.0,25.97,125.97,25.97,1259.7,259.7,12597.0,2597.0,224.11,324.11,224.11,3241.1,2241.1,32411.0,22411.0,648.0,748.0,648.0,7480.0,6480.0,74800.0,64800.0,STX Stock Gains Over 6% — Company Settles Huawei Lawsuit For $175M,Stocktwits,2026-06-01,0.128,"Jim Cramer on Micron: “Unlike the Dot-Coms, It’s Insanely Profitable”",Insider Monkey,2026-06-01,0.0,"SanDisk Stock Near $1,700: Two Risks That Could Break the Momentum",Trefis,2026-06-01,-0.273,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,284.75,+29.73%,+36.73%,+73.99%,+218.94%,+252%,185.008,2.251,97.52,27.58,11.0,4.31,strong_buy,1.41,29.73,129.73,29.73,1297.3,297.3,12973.0,2973.0,36.73,136.73,36.73,1367.3,367.3,13673.0,3673.0,73.99,173.99,73.99,1739.9,739.9,17399.0,7399.0,218.94,318.94,218.94,3189.4,2189.4,31894.0,21894.0,252.0,352.0,252.0,3520.0,2520.0,35200.0,25200.0,Jensen Huang explains why Marvell is the next trillion company,Yahoo Finance Video,2026-06-02,0.0,"Tech stocks today: Google stock falls on plans to raise $80 billion, Nvidia CEO blesses Marvell stock",Yahoo Finance,2026-06-01,0.557,Stock Market Today: S&P 500 Hits A New High; This Power Stock Gets A Jolt (Live Coverage),Investor's Business Daily,2026-06-02,0.0,6,strong_buy,0.8,MRVL surged +25.06% in 1D and +67.72% in 1M on Nvidia CEO calling it 'the next trillion-dollar company'. Strong_buy consensus with score 1.41 and YTD +207.44% make it a top pick.,+25.06% 1D surge; +67.72% 1M momentum; strong_buy consensus (1.41); Nvidia CEO catalyst,,,,,
P,Everpure,AI,memory,NYSE,83.18,-0.98%,-5.85%,+14.34%,+20.53%,+54%,20.519,1.438,126.03,3.15,,4.36,buy,1.9,-0.98,99.02,-0.98,990.2,-9.8,9902.0,-98.0,-5.85,94.15,-5.85,941.5,-58.5,9415.0,-585.0,14.34,114.34,14.34,1143.4,143.4,11434.0,1434.0,20.53,120.53,20.53,1205.3,205.3,12053.0,2053.0,54.0,154.0,54.0,1540.0,540.0,15400.0,5400.0,Why Are Everpure (P) Shares Soaring Today,StockStory,2026-06-02,0.296,2 Profitable Stocks on Our Watchlist and 1 Facing Headwinds,StockStory,2026-06-01,0.44,Everpure (P) Is Down 8.8% After Raising 2027 Outlook And Showcasing Cyber-Resilient Platform Upgrade,Simply Wall St.,2026-06-01,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,1280.6,+0.61%,+1.54%,+6.54%,+6.99%,+42%,1.062,1.2,18.56,37.15,75.0,,buy,1.7,0.61,100.61,0.61,1006.1,6.1,10061.0,61.0,1.54,101.54,1.54,1015.4,15.4,10154.0,154.0,6.54,106.54,6.54,1065.4,65.4,10654.0,654.0,6.99,106.99,6.99,1069.9,69.9,10699.0,699.0,42.0,142.0,42.0,1420.0,420.0,14200.0,4200.0,Rolls-Royce updates Spectre EV — one of the few luxury EVs performing well,Yahoo Finance,2026-06-02,0.273,Erewhon sued in Culver City over a rent dispute,LA Times,2026-05-30,-0.402,European Stocks Close Lower in Thursday Trading; Defense Stocks Rally as US-Iran Tensions Persist,MT Newswires,2026-05-28,-0.527,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,274.41,+2.68%,-9.01%,-14.39%,-24.86%,-15%,73.61,1.155,23.86,3.21,64.0,3.25,buy,1.57,2.68,102.68,2.68,1026.8,26.8,10268.0,268.0,-9.01,90.99,-9.01,909.9,-90.1,9099.0,-901.0,-14.39,85.61,-14.39,856.1,-143.9,8561.0,-1439.0,-24.86,75.14,-24.86,751.4,-248.6,7514.0,-2486.0,-15.0,85.0,-15.0,850.0,-150.0,8500.0,-1500.0,Is Constellation Energy (CEG) Offering Opportunity After Recent Share Price Pullback?,Simply Wall St.,2026-06-02,0.727,Vistra vs. Constellation Energy: The Big Revenue Face-Off,Motley Fool,2026-06-01,0.273,"US Equity Markets Higher After Trump Says Israel, Hezbollah to Cease Fighting",MT Newswires,2026-06-01,-0.361,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,159.64,+3.34%,-2.99%,-0.75%,-3.25%,-12%,39.977,1.447,26.74,4.71,59.0,4.61,strong_buy,1.42,3.34,103.34,3.34,1033.4,33.4,10334.0,334.0,-2.99,97.01,-2.99,970.1,-29.9,9701.0,-299.0,-0.75,99.25,-0.75,992.5,-7.5,9925.0,-75.0,-3.25,96.75,-3.25,967.5,-32.5,9675.0,-325.0,-12.0,88.0,-12.0,880.0,-120.0,8800.0,-1200.0,Vistra (VST) Valuation Check After Recent Share Price Pullback,Simply Wall St.,2026-06-02,0.296,Vistra vs. Constellation Energy: The Big Revenue Face-Off,Motley Fool,2026-06-01,0.273,From Bond Proxy to Battleground: Why Utilities Are the Worst Hiding Spot in 2026,24/7 Wall St.,2026-06-01,-0.84,,,,,,,,,,
