ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,2107.86,+5.66%,+28.37%,+58.13%,+665.83%,+4379%,232.778,,71.92,15.3,9088894,61357994,223841694,,9.71,buy,1.59,5.66,105.66,5.66,1056.6,56.6,10566.0,566.0,28.37,128.37,28.37,1283.7,283.7,12837.0,2837.0,58.13,158.13,58.13,1581.3,581.3,15813.0,5813.0,665.83,765.83,665.83,7658.3,6658.3,76583.0,66583.0,4379.0,4479.0,4379.0,44790.0,43790.0,447900.0,437900.0,"Chip stocks surge, oil slides closer to $80 on US-Iran deal, Fox to acquire Roku",Yahoo Finance Video,2026-06-15,0.0,"Dow Jones Futures: Trump, Iran Deal Spark Stock Market Surge; Nvidia, Micron, Sandisk, SpaceX Are Big Winners",Investor's Business Daily,2026-06-15,0.612,"SpaceX, Western Digital, Nvidia, Fox, and More Stocks That Explain Today’s Market",Barrons.com,2026-06-15,0.0,1,strong_buy,0.85,"YTD +619%, 1M +37%, 1W +27%, P/E 67.6. Multiple analyst PT upgrades (BofA $2,100, Mizuho $2,200), CEO confirmed $42B in multi-year supply contracts and Q4 gross margin guidance of 79-81% with AI-driven NAND shortage expected to persist for years (NVIDIA CEO).",AI-driven NAND shortage confirmed by NVIDIA CEO; multiple analyst PT upgrades this week; 79-81% gross margin guidance from NBM contracts; +619% YTD with strong 1M/1W/1D momentum,,,,,
WDC,Western Digital,AI,memory,NASDAQ,653.53,+15.36%,+24.03%,+42.52%,+248.44%,+881%,167.981,2.2,39.09,7.76,9399067,35275967,134057367,11.0,10.43,buy,1.52,15.36,115.36,15.36,1153.6,153.6,11536.0,1536.0,24.03,124.03,24.03,1240.3,240.3,12403.0,2403.0,42.52,142.52,42.52,1425.2,425.2,14252.0,4252.0,248.44,348.44,248.44,3484.4,2484.4,34844.0,24844.0,881.0,981.0,881.0,9810.0,8810.0,98100.0,88100.0,"Stock Market Today, June 15: Nvidia Jumps as Markets Soar on Peace Hopes",Motley Fool,2026-06-15,0.743,"SpaceX, Western Digital, Nvidia, Fox, and More Stocks That Explain Today’s Market",Barrons.com,2026-06-15,0.0,"Update: US Equity Indexes Soar, Crude Oil Sinks as Iran Agreement Poised to Reopen Hormuz",MT Newswires,2026-06-15,0.128,5,buy,0.7,"YTD +200%, 1M +14%, 1W +10%, P/E 33.7, buy consensus. Q3 FY2026 EPS beat ($2.72 vs $2.39) and revenue up 46% YoY to $3.34B. Non-GAAP gross margin above 50% for first time. Mizuho PT raised to $685. News sentiment slightly negative at -0.076 but fundamentals strong.",Q3 EPS beat $2.72 vs $2.39 consensus; gross margin above 50% first time; Mizuho PT raised to $685; 1W +10% momentum,,,,,
285A,Kioxia Holdings,AI,memory,TSE,90910.0,+11.04%,+26.47%,+104.52%,+700.97%,+3942%,230.955,,80.65,36.72,33746100,196363900,837318700,,,buy,1.62,11.04,111.04,11.04,1110.4,110.4,11104.0,1104.0,26.47,126.47,26.47,1264.7,264.7,12647.0,2647.0,104.52,204.52,104.52,2045.2,1045.2,20452.0,10452.0,700.97,800.97,700.97,8009.7,7009.7,80097.0,70097.0,3942.0,4042.0,3942.0,40420.0,39420.0,404200.0,394200.0,Japan's Nikkei Soars to Record High,Barrons.com,2026-06-15,0.0,Kioxia Becomes Japan’s Most Valuable Firm as AI Mania Goes On,Bloomberg,2026-06-12,0.526,Chip Stocks Rebound Amid Dip Buying,Barrons.com,2026-06-09,0.0,2,strong_buy,0.75,"YTD +701%, 1M +105%, 1W +26%, 1D +11%, now Japan's most valuable firm. P/E 90, buy consensus with 0.164 news sentiment. AI memory mania driving parabolic momentum.","+701% YTD, 1M +105% parabolic momentum; now Japan's most valuable firm; AI memory mania catalyst; positive news sentiment 0.164",,,,,
MU,Micron Technology,AI,memory,NASDAQ,1087.99,+9.94%,+14.61%,+59.64%,+245.08%,+719%,914.971,2.173,51.32,51.2,44256323,273621623,1102494623,6.0,3.34,strong_buy,1.48,9.94,109.94,9.94,1099.4,99.4,10994.0,994.0,14.61,114.61,14.61,1146.1,146.1,11461.0,1461.0,59.64,159.64,59.64,1596.4,596.4,15964.0,5964.0,245.08,345.08,245.08,3450.8,2450.8,34508.0,24508.0,719.0,819.0,719.0,8190.0,7190.0,81900.0,71900.0,"Chip stocks surge, oil slides closer to $80 on US-Iran deal, Fox to acquire Roku",Yahoo Finance Video,2026-06-15,0.0,Forget Micron: 1 Record-Breaking Cloud Powerhouse to Buy Hand Over Fist After the Pullback,24/7 Wall St.,2026-06-15,0.318,"Stock Market Today, June 15: Nvidia Jumps as Markets Soar on Peace Hopes",Motley Fool,2026-06-15,0.743,4,strong_buy,0.75,"YTD +211%, 1M +22%, 1W +14%, P/E 46.3, strong_buy consensus (an_score 1.48), news sentiment 0.259. NVIDIA CEO called memory shortage multi-year positive for MU. Low 3.34% short interest and Q2 guide $19B at 68% gross margin.",NVIDIA CEO multi-year memory shortage call; strong_buy consensus an_score 1.48; low 3.34% short interest; 1M +22% with 1W +14% momentum,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,1018.8,+8.83%,+16.20%,+37.52%,+254.93%,+611%,170.356,2.083,96.84,3.95,4502982,17040282,66105182,32.0,4.58,buy,1.54,8.83,108.83,8.83,1088.3,88.3,10883.0,883.0,16.2,116.2,16.2,1162.0,162.0,11620.0,1620.0,37.52,137.52,37.52,1375.2,375.2,13752.0,3752.0,254.93,354.93,254.93,3549.3,2549.3,35493.0,25493.0,611.0,711.0,611.0,7110.0,6110.0,71100.0,61100.0,"SpaceX, Western Digital, Nvidia, Fox, and More Stocks That Explain Today’s Market",Barrons.com,2026-06-15,0.0,"Stock Market Today: Dow Pops On Trump-Iran Deal; Elon Musk's SpaceX Rockets, Tesla Does This",Investor's Business Daily,2026-06-15,0.0,"Western Digital, Seagate Stocks Keep Soaring. Why They’re Morgan Stanley’s Top Picks.",Barrons.com,2026-06-15,0.202,10,buy,0.55,"YTD +224%, 1M +14%, 1W +10%, P/E 88.5 (stretched), buy consensus. Mizuho PT raised to $1,090. News sentiment negative at -0.148 but structural undersupply in HDD driven by AI workloads supports thesis.","YTD +224% strong; Mizuho PT raised to $1,090; HDD structural undersupply; 1W +10% momentum",,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,308.88,+9.84%,+6.93%,+82.84%,+245.96%,+297%,201.673,2.277,106.14,34.94,50306597,298537997,1129095297,9.0,4.71,strong_buy,1.45,9.84,109.84,9.84,1098.4,98.4,10984.0,984.0,6.93,106.93,6.93,1069.3,69.3,10693.0,693.0,82.84,182.84,82.84,1828.4,828.4,18284.0,8284.0,245.96,345.96,245.96,3459.6,2459.6,34596.0,24596.0,297.0,397.0,297.0,3970.0,2970.0,39700.0,29700.0,"Stocks to Watch Recap: SpaceX, Micron Technology, Remy Cointreau",The Wall Street Journal,2026-06-15,0.0,"Stock Market Today: Dow Pops On Trump-Iran Deal; Elon Musk's SpaceX Rockets, Tesla Does This",Investor's Business Daily,2026-06-15,0.0,How Marvell Broke The Law Of Large Numbers,Trefis,2026-06-15,-0.421,9,strong_buy,0.6,"YTD +213%, 1M +57%, 1W +6%, P/E 96.1, strong_buy consensus (an_score 1.45), news sentiment 0.124. AI custom silicon and data infrastructure demand driving parabolic momentum despite high valuation.",1M +57% parabolic momentum; strong_buy consensus an_score 1.45; AI custom silicon catalyst; YTD +213%,,,,,
P,Everpure,AI,memory,NYSE,74.7,+2.34%,+1.26%,-3.08%,+8.25%,+40%,18.517,1.445,113.18,3.18,2303093,16416193,83762493,,4.16,buy,1.9,2.34,102.34,2.34,1023.4,23.4,10234.0,234.0,1.26,101.26,1.26,1012.6,12.6,10126.0,126.0,-3.08,96.92,-3.08,969.2,-30.8,9692.0,-308.0,8.25,108.25,8.25,1082.5,82.5,10825.0,825.0,40.0,140.0,40.0,1400.0,400.0,14000.0,4000.0,MarketBeat Week in Review – 06/08 - 06/12,MarketBeat,2026-06-13,0.0,Assessing Everpure (P) Valuation After A Recent Share Price Pullback,Simply Wall St.,2026-06-11,0.296,Everpure’s 1touch Deal Recasts AI Infrastructure Role And Earnings Profile,Simply Wall St.,2026-06-11,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,1358.4,+3.85%,+7.71%,+19.16%,+13.49%,+48%,1.126,1.22,19.69,34.81,22118278,142813629,654882282,73.0,,buy,1.6,3.85,103.85,3.85,1038.5,38.5,10385.0,385.0,7.71,107.71,7.71,1077.1,77.1,10771.0,771.0,19.16,119.16,19.16,1191.6,191.6,11916.0,1916.0,13.49,113.49,13.49,1134.9,134.9,11349.0,1349.0,48.0,148.0,48.0,1480.0,480.0,14800.0,4800.0,Rolls-Royce (LSE:RR.) Stock Price Surge Raises Fresh Questions On Future Valuation,Simply Wall St.,2026-06-15,0.318,"RYCEY Stock Surges To March Highs – Sweden Turns To Nuclear Power After Over 4 Decades, Picks Rolls-Royce For 3 SMRs",Stocktwits,2026-06-15,0.0,Britain to sell mini nuclear reactors to Sweden,The Telegraph,2026-06-15,0.0,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,262.35,+2.74%,+4.66%,+0.00%,-28.16%,-18%,69.863,1.091,22.77,3.41,3663258,19794558,83183258,67.0,3.6,strong_buy,1.48,2.74,102.74,2.74,1027.4,27.4,10274.0,274.0,4.66,104.66,4.66,1046.6,46.6,10466.0,466.0,0.0,100.0,0.0,1000.0,0.0,10000.0,0.0,-28.16,71.84,-28.16,718.4,-281.6,7184.0,-2816.0,-18.0,82.0,-18.0,820.0,-180.0,8200.0,-1800.0,Constellation Energy (CEG) Passes Another Regulatory Hurdle For Three Mile Island Nuclear Plant,Insider Monkey,2026-06-15,0.273,How Constellation’s US$3.09 Billion Equity Raise And AI Power Deals At Constellation Energy (CEG) Has Changed Its Investment Story,Simply Wall St.,2026-06-14,0.273,Constellation Energy (CEG) Completes $90M Limerick Clean Energy Center Outage Upgrade,Insider Monkey,2026-06-13,0.71,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,153.52,+3.55%,+4.51%,+12.26%,-6.96%,-16%,38.602,1.405,25.67,4.6,3427825,22377025,98655925,62.0,5.39,strong_buy,1.37,3.55,103.55,3.55,1035.5,35.5,10355.0,355.0,4.51,104.51,4.51,1045.1,45.1,10451.0,451.0,12.26,112.26,12.26,1122.6,122.6,11226.0,1226.0,-6.96,93.04,-6.96,930.4,-69.6,9304.0,-696.0,-16.0,84.0,-16.0,840.0,-160.0,8400.0,-1600.0,KKR Targets AI Infrastructure And Advisory Growth With Helix And Crowe,Simply Wall St.,2026-06-15,0.382,Can GE Vernova's Services Business Drive More Stable Growth?,Zacks,2026-06-15,0.657,Should communities be 'excited' about AI data center projects?,Yahoo Finance Video,2026-06-14,0.34,,,,,,,,,,
